variant,continent,year,gender,dependencyratio1564
medium_variant,909,2089,female,71.907
medium_variant,909,2090,female,72.308
medium_variant,909,2091,female,72.548
medium_variant,909,2092,female,72.792
medium_variant,909,2093,female,73.064
medium_variant,909,2094,female,73.387
medium_variant,909,2095,female,73.781
medium_variant,909,2096,female,73.996
medium_variant,909,2097,female,74.221
medium_variant,909,2098,female,74.481
medium_variant,909,2099,female,74.801
medium_variant,909,2100,female,75.206
