agebroad,gender,population,continent,variant,year
25_64,male,119687.337,908,estimates,1951
25_69,male,126919.74,908,estimates,1951
15plus,male,185207.47,908,estimates,1951
16plus,male,180170.342,908,estimates,1951
17plus,male,175334.035,908,estimates,1951
18plus,male,170721.245,908,estimates,1951
20plus,male,161708.821,908,estimates,1951
21plus,male,157040.479,908,estimates,1951
25plus,male,137768.646,908,estimates,1951
50plus,male,51170.437,908,estimates,1951
60plus,male,27043.342,908,estimates,1951
65plus,male,18081.309,908,estimates,1951
70plus,male,10848.906,908,estimates,1951
75plus,male,5497.559,908,estimates,1951
80plus,male,2191.164,908,estimates,1951
85plus,male,688.428,908,estimates,1951
90plus,male,155.66,908,estimates,1951
total,male,259193.201,908,estimates,1951
0_1,female,10878.715,908,estimates,1952
0_4,female,27194.086,908,estimates,1952
0_14,female,71705.585,908,estimates,1952
0_17,female,86707.94,908,estimates,1952
0_19,female,95830.315,908,estimates,1952
0_24,female,120187.488,908,estimates,1952
3_4,female,10317.237,908,estimates,1952
3_5,female,14870.234,908,estimates,1952
3_6,female,19161.989,908,estimates,1952
4_5,female,9472.1,908,estimates,1952
4_6,female,13763.855,908,estimates,1952
5_14,female,44511.499,908,estimates,1952
5_10,female,25079.685,908,estimates,1952
5_11,female,29491.346,908,estimates,1952
6_9,female,16375.463,908,estimates,1952
6_10,female,20526.688,908,estimates,1952
6_11,female,24938.349,908,estimates,1952
6_12,female,29640.872,908,estimates,1952
7_10,female,16234.933,908,estimates,1952
7_12,female,25349.117,908,estimates,1952
11_16,female,29625.398,908,estimates,1952
11_17,female,34434.169,908,estimates,1952
11_18,female,39044.959,908,estimates,1952
12_14,female,15020.153,908,estimates,1952
12_16,female,25213.737,908,estimates,1952
12_17,female,30022.508,908,estimates,1952
12_18,female,34633.298,908,estimates,1952
13_17,female,25319.985,908,estimates,1952
13_18,female,29930.775,908,estimates,1952
13_19,female,34442.36,908,estimates,1952
15_17,female,15002.355,908,estimates,1952
18_23,female,28383.622,908,estimates,1952
15_24,female,48481.903,908,estimates,1952
15_49,female,154111.602,908,estimates,1952
15_59,female,186259.893,908,estimates,1952
15_64,female,198853.559,908,estimates,1952
20_64,female,174728.829,908,estimates,1952
20_69,female,185134.282,908,estimates,1952
25_49,female,105629.699,908,estimates,1952
25_64,female,150371.656,908,estimates,1952
25_69,female,160777.109,908,estimates,1952
15plus,female,226135.207,908,estimates,1952
16plus,female,220930.587,908,estimates,1952
17plus,female,215941.623,908,estimates,1952
18plus,female,211132.852,908,estimates,1952
20plus,female,202010.477,908,estimates,1952
21plus,female,197426.249,908,estimates,1952
25plus,female,177653.304,908,estimates,1952
50plus,female,72023.605,908,estimates,1952
60plus,female,39875.314,908,estimates,1952
65plus,female,27281.648,908,estimates,1952
70plus,female,16876.195,908,estimates,1952
75plus,female,9098.264,908,estimates,1952
80plus,female,4001.994,908,estimates,1952
85plus,female,1405.156,908,estimates,1952
90plus,female,385.482,908,estimates,1952
total,female,297840.792,908,estimates,1952
0_1,male,11364.694,908,estimates,1952
0_4,male,28327.713,908,estimates,1952
0_14,male,73894.319,908,estimates,1952
0_17,male,89028.861,908,estimates,1952
0_19,male,98118.386,908,estimates,1952
0_24,male,121790.561,908,estimates,1952
3_4,male,10715.254,908,estimates,1952
3_5,male,15427.578,908,estimates,1952
3_6,male,19858.515,908,estimates,1952
4_5,male,9815.488,908,estimates,1952
4_6,male,14246.425,908,estimates,1952
5_14,male,45566.606,908,estimates,1952
5_10,male,25800.721,908,estimates,1952
5_11,male,30302.01,908,estimates,1952
6_9,male,16844.311,908,estimates,1952
6_10,male,21088.397,908,estimates,1952
6_11,male,25589.686,908,estimates,1952
6_12,male,30378.448,908,estimates,1952
7_10,male,16657.46,908,estimates,1952
7_12,male,25947.511,908,estimates,1952
11_16,male,30067.528,908,estimates,1952
11_17,male,34900.427,908,estimates,1952
11_18,male,39509.326,908,estimates,1952
12_14,male,15264.596,908,estimates,1952
12_16,male,25566.239,908,estimates,1952
12_17,male,30399.138,908,estimates,1952
12_18,male,35008.037,908,estimates,1952
13_17,male,25610.376,908,estimates,1952
13_18,male,30219.275,908,estimates,1952
13_19,male,34699.901,908,estimates,1952
15_17,male,15134.542,908,estimates,1952
18_23,male,27892.244,908,estimates,1952
15_24,male,47896.242,908,estimates,1952
15_49,male,135865.373,908,estimates,1952
15_59,male,160764.596,908,estimates,1952
15_64,male,169774.895,908,estimates,1952
20_64,male,145550.828,908,estimates,1952
20_69,male,152862.9,908,estimates,1952
25_49,male,87969.131,908,estimates,1952
25_64,male,121878.653,908,estimates,1952
25_69,male,129190.725,908,estimates,1952
15plus,male,188192.885,908,estimates,1952
16plus,male,182925.393,908,estimates,1952
17plus,male,177891.242,908,estimates,1952
18plus,male,173058.343,908,estimates,1952
20plus,male,163968.818,908,estimates,1952
21plus,male,159446.953,908,estimates,1952
25plus,male,140296.643,908,estimates,1952
50plus,male,52327.512,908,estimates,1952
60plus,male,27428.289,908,estimates,1952
65plus,male,18417.99,908,estimates,1952
70plus,male,11105.918,908,estimates,1952
75plus,male,5707.657,908,estimates,1952
80plus,male,2315.287,908,estimates,1952
85plus,male,723.922,908,estimates,1952
90plus,male,173.312,908,estimates,1952
total,male,262087.204,908,estimates,1952
0_1,female,10642.606,908,estimates,1953
0_4,female,27155.869,908,estimates,1953
0_14,female,71544.36,908,estimates,1953
0_17,female,87007.615,908,estimates,1953
0_19,female,96420.62,908,estimates,1953
0_24,female,120147.549,908,estimates,1953
3_4,female,11141.648,908,estimates,1953
3_5,female,16092.357,908,estimates,1953
3_6,female,20722.9,908,estimates,1953
4_5,female,10291.627,908,estimates,1953
4_6,female,14922.17,908,estimates,1953
5_14,female,44388.491,908,estimates,1953
5_10,female,26089.361,908,estimates,1953
5_11,female,30210.254,908,estimates,1953
6_9,female,17181.208,908,estimates,1953
6_10,female,21138.652,908,estimates,1953
6_11,female,25259.545,908,estimates,1953
6_12,female,29667.284,908,estimates,1953
7_10,female,16508.109,908,estimates,1953
7_12,female,25036.741,908,estimates,1953
11_16,female,28772.67,908,estimates,1953
11_17,female,33762.385,908,estimates,1953
11_18,female,38569.277,908,estimates,1953
12_14,female,14178.237,908,estimates,1953
12_16,female,24651.777,908,estimates,1953
12_17,female,29641.492,908,estimates,1953
12_18,female,34448.384,908,estimates,1953
13_17,female,25233.753,908,estimates,1953
13_18,female,30040.645,908,estimates,1953
13_19,female,34646.758,908,estimates,1953
15_17,female,15463.255,908,estimates,1953
18_23,female,28131.006,908,estimates,1953
15_24,female,48603.189,908,estimates,1953
15_49,female,155218.159,908,estimates,1953
15_59,female,188246.908,908,estimates,1953
15_64,female,200998.447,908,estimates,1953
20_64,female,176122.187,908,estimates,1953
20_69,female,186766.564,908,estimates,1953
25_49,female,106614.97,908,estimates,1953
25_64,female,152395.258,908,estimates,1953
25_69,female,163039.635,908,estimates,1953
15plus,female,228965.477,908,estimates,1953
16plus,female,223699.899,908,estimates,1953
17plus,female,218491.937,908,estimates,1953
18plus,female,213502.222,908,estimates,1953
20plus,female,204089.217,908,estimates,1953
21plus,female,199584.629,908,estimates,1953
25plus,female,180362.288,908,estimates,1953
50plus,female,73747.318,908,estimates,1953
60plus,female,40718.569,908,estimates,1953
65plus,female,27967.03,908,estimates,1953
70plus,female,17322.653,908,estimates,1953
75plus,female,9372.579,908,estimates,1953
80plus,female,4147.293,908,estimates,1953
85plus,female,1420.426,908,estimates,1953
90plus,female,399.744,908,estimates,1953
total,female,300509.837,908,estimates,1953
0_1,male,11136.437,908,estimates,1953
0_4,male,28332.625,908,estimates,1953
0_14,male,73872.65,908,estimates,1953
0_17,male,89502.143,908,estimates,1953
0_19,male,98936.216,908,estimates,1953
0_24,male,122186.432,908,estimates,1953
3_4,male,11592.206,908,estimates,1953
3_5,male,16727.69,908,estimates,1953
3_6,male,21520.373,908,estimates,1953
4_5,male,10687.026,908,estimates,1953
4_6,male,15479.709,908,estimates,1953
5_14,male,45540.025,908,estimates,1953
5_10,male,26908.57,908,estimates,1953
5_11,male,31118.977,908,estimates,1953
6_9,male,17719.267,908,estimates,1953
6_10,male,21773.086,908,estimates,1953
6_11,male,25983.493,908,estimates,1953
6_12,male,30476.981,908,estimates,1953
7_10,male,16980.403,908,estimates,1953
7_12,male,25684.298,908,estimates,1953
11_16,male,29229.889,908,estimates,1953
11_17,male,34260.948,908,estimates,1953
11_18,male,39090.27,908,estimates,1953
12_14,male,14421.048,908,estimates,1953
12_16,male,25019.482,908,estimates,1953
12_17,male,30050.541,908,estimates,1953
12_18,male,34879.863,908,estimates,1953
13_17,male,25557.053,908,estimates,1953
13_18,male,30386.375,908,estimates,1953
13_19,male,34991.126,908,estimates,1953
15_17,male,15629.493,908,estimates,1953
18_23,male,27835.914,908,estimates,1953
15_24,male,48313.782,908,estimates,1953
15_49,male,137678.261,908,estimates,1953
15_59,male,163420.358,908,estimates,1953
15_64,male,172501.877,908,estimates,1953
20_64,male,147438.311,908,estimates,1953
20_69,male,154842.461,908,estimates,1953
25_49,male,89364.479,908,estimates,1953
25_64,male,124188.095,908,estimates,1953
25_69,male,131592.245,908,estimates,1953
15plus,male,191213.771,908,estimates,1953
16plus,male,185880.005,908,estimates,1953
17plus,male,180615.337,908,estimates,1953
18plus,male,175584.278,908,estimates,1953
20plus,male,166150.205,908,estimates,1953
21plus,male,161674.408,908,estimates,1953
25plus,male,142899.989,908,estimates,1953
50plus,male,53535.51,908,estimates,1953
60plus,male,27793.413,908,estimates,1953
65plus,male,18711.894,908,estimates,1953
70plus,male,11307.744,908,estimates,1953
75plus,male,5858.522,908,estimates,1953
80plus,male,2397.424,908,estimates,1953
85plus,male,734.693,908,estimates,1953
90plus,male,182.227,908,estimates,1953
total,male,265086.421,908,estimates,1953
0_1,female,10546.806,908,estimates,1954
0_4,female,27092.201,908,estimates,1954
0_14,female,71866.345,908,estimates,1954
0_17,female,87399.858,908,estimates,1954
0_19,female,97184.602,908,estimates,1954
0_24,female,120443.279,908,estimates,1954
3_4,female,11071.116,908,estimates,1954
3_5,female,16348.184,908,estimates,1954
3_6,female,21324.753,908,estimates,1954
4_5,female,10872.658,908,estimates,1954
4_6,female,15849.227,908,estimates,1954
5_14,female,44774.144,908,estimates,1954
5_10,female,27658.812,908,estimates,1954
5_11,female,31580.555,908,estimates,1954
6_9,female,18383.667,908,estimates,1954
6_10,female,22381.744,908,estimates,1954
6_11,female,26303.487,908,estimates,1954
6_12,female,30389.847,908,estimates,1954
7_10,female,17405.175,908,estimates,1954
7_12,female,25413.278,908,estimates,1954
