continent,year,variant,gender,agebroad,population
905,1960,estimates,male,20_64,53124.996
905,1960,estimates,female,20_69,57757.506
905,1960,estimates,male,20_69,56356.986
905,1960,estimates,female,21plus,62909.857
905,1960,estimates,male,21plus,60059.041
905,1960,estimates,female,25plus,57845.032
905,1960,estimates,male,25plus,55067.892
905,1960,estimates,female,25_49,33011.383
905,1960,estimates,male,25_49,32889.226
905,1960,estimates,female,25_64,47706.99
905,1960,estimates,male,25_64,46800.957
905,1960,estimates,female,25_69,51357.122
905,1960,estimates,male,25_69,50032.947
905,1960,estimates,female,50plus,24833.649
905,1960,estimates,male,50plus,22178.666
905,1960,estimates,female,60plus,14449.533
905,1960,estimates,male,60plus,12134.358
905,1960,estimates,female,65plus,10138.042
905,1960,estimates,male,65plus,8266.935
905,1960,estimates,female,70plus,6487.91
905,1960,estimates,male,70plus,5034.945
905,1960,estimates,female,75plus,3694.682
905,1960,estimates,male,75plus,2692.81
905,1960,estimates,female,80plus,1695.911
905,1960,estimates,male,80plus,1158.528
905,1965,estimates,female,total,110645.699
905,1965,estimates,male,total,108543.64
905,1965,estimates,female,0_1,4184.2
905,1965,estimates,male,0_1,4244.73
905,1965,estimates,female,0_4,10891.484
905,1965,estimates,male,0_4,11161.844
905,1965,estimates,female,0_14,32745.384
905,1965,estimates,male,0_14,33973.857
905,1965,estimates,female,0_17,38580.885
905,1965,estimates,male,0_17,40033.093
905,1965,estimates,female,0_19,42159.955
905,1965,estimates,male,0_19,43690.636
905,1965,estimates,female,0_24,49845.976
905,1965,estimates,male,0_24,51311.68
905,1965,estimates,female,3_4,4511.377
905,1965,estimates,male,3_4,4664.198
905,1965,estimates,female,3_5,6796.193
905,1965,estimates,male,3_5,7039.513
905,1965,estimates,female,3_6,9082.53
905,1965,estimates,male,3_6,9422.511
905,1965,estimates,female,4_5,4555.07
905,1965,estimates,male,4_5,4727.53
905,1965,estimates,female,4_6,6841.407
905,1965,estimates,male,4_6,7110.528
905,1965,estimates,female,5_10,13522.103
905,1965,estimates,male,5_10,14116.14
905,1965,estimates,female,5_11,15665.534
905,1965,estimates,male,5_11,16356.671
905,1965,estimates,female,5_14,21853.9
905,1965,estimates,male,5_14,22812.013
905,1965,estimates,female,6_9,9046.883
905,1965,estimates,male,6_9,9449.486
905,1965,estimates,female,6_10,11237.287
905,1965,estimates,male,6_10,11740.825
905,1965,estimates,female,6_11,13380.718
905,1965,estimates,male,6_11,13981.356
905,1965,estimates,female,6_12,15479.387
905,1965,estimates,male,6_12,16172.917
905,1965,estimates,female,7_10,8950.95
905,1965,estimates,male,7_10,9357.827
905,1965,estimates,female,7_12,13193.05
905,1965,estimates,male,7_12,13789.919
905,1965,estimates,female,11_16,12269.934
905,1965,estimates,male,11_16,12790.622
905,1965,estimates,female,11_17,14167.298
905,1965,estimates,male,11_17,14755.109
905,1965,estimates,female,11_18,15996.184
905,1965,estimates,male,11_18,16633.949
905,1965,estimates,female,12_14,6188.366
905,1965,estimates,male,12_14,6455.342
905,1965,estimates,female,12_16,10126.503
905,1965,estimates,male,12_16,10550.091
905,1965,estimates,female,12_17,12023.867
905,1965,estimates,male,12_17,12514.578
