country,year,variant,gender,agebroad,percentagetotalpopulation
364,1960,estimates,female,11_16,11.2276068157911
364,1960,estimates,male,11_16,10.9970272919698
364,1960,estimates,female,11_17,12.7957556308931
364,1960,estimates,male,11_17,12.5446837927595
364,1960,estimates,female,11_18,14.3494918650967
364,1960,estimates,male,11_18,14.0760362517213
364,1960,estimates,female,12_14,5.71453675226883
364,1960,estimates,male,12_14,5.57467477972866
364,1960,estimates,female,12_16,9.04798761174439
364,1960,estimates,male,12_16,8.84935892560901
364,1960,estimates,female,12_17,10.6161364268464
364,1960,estimates,male,12_17,10.3970154263987
364,1960,estimates,female,12_18,12.16987266105
364,1960,estimates,male,12_18,11.9283678853604
364,1960,estimates,female,13_17,8.59735299870765
364,1960,estimates,male,13_17,8.42725946846333
364,1960,estimates,female,13_18,10.1510892329112
364,1960,estimates,male,13_18,9.95861192742505
364,1960,estimates,female,13_19,11.7180096497715
364,1960,estimates,male,13_19,11.4972580657643
364,1960,estimates,female,15plus,57.3354035438258
364,1960,estimates,male,15plus,57.2041316736833
364,1960,estimates,female,15_17,4.90159967457762
364,1960,estimates,male,15_17,4.82234064667007
364,1960,estimates,female,15_24,16.0682648096536
364,1960,estimates,male,15_24,15.7628508181952
364,1960,estimates,female,15_49,44.8340321450253
364,1960,estimates,male,15_49,45.1146802108514
364,1960,estimates,female,15_59,50.9728820304467
364,1960,estimates,male,15_59,51.3459640291744
364,1960,estimates,female,15_64,53.1978863298405
364,1960,estimates,male,15_64,53.3078214660278
364,1960,estimates,female,16plus,55.625370043249
364,1960,estimates,male,16plus,55.5275816267236
364,1960,estimates,female,17plus,54.0019526843502
364,1960,estimates,male,17plus,53.9294475278029
364,1960,estimates,female,18plus,52.4338038692482
364,1960,estimates,male,18plus,52.3817910270132
364,1960,estimates,female,18_23,9.56542458413093
364,1960,estimates,male,18_23,9.37267152621398
364,1960,estimates,female,20plus,49.3131472181843
364,1960,estimates,male,20plus,49.3117924297123
364,1960,estimates,female,20_64,45.1756300041991
364,1960,estimates,male,20_64,45.4154822220568
364,1960,estimates,female,20_69,46.8628959404158
364,1960,estimates,male,20_69,46.9067461286351
364,1960,estimates,female,21plus,47.7285228633044
364,1960,estimates,male,21plus,47.7594928793676
364,1960,estimates,female,25plus,41.2671387341722
364,1960,estimates,male,25plus,41.4412808554881
364,1960,estimates,female,25_49,28.7657673353717
364,1960,estimates,male,25_49,29.3518293926562
364,1960,estimates,female,25_64,37.1296215201869
364,1960,estimates,male,25_64,37.5449706478326
364,1960,estimates,female,25_69,38.8168874564036
364,1960,estimates,male,25_69,39.0362345544109
364,1960,estimates,female,50plus,12.5013713988005
364,1960,estimates,male,50plus,12.0894514628319
364,1960,estimates,female,60plus,6.36252151337913
364,1960,estimates,male,60plus,5.85816764450892
364,1960,estimates,female,65plus,4.13751721398529
364,1960,estimates,male,65plus,3.8963102076555
364,1960,estimates,female,70plus,2.4502512777686
364,1960,estimates,male,70plus,2.40504630107722
364,1960,estimates,female,75plus,1.17508950897265
364,1960,estimates,male,75plus,1.20173151948422
364,1960,estimates,female,80plus,0.452838228203386
364,1960,estimates,male,80plus,0.471678687450807
364,1965,estimates,female,total,100
364,1965,estimates,male,total,100
364,1965,estimates,female,0_1,7.47143515790943
364,1965,estimates,male,0_1,7.47182262419813
364,1965,estimates,female,0_4,17.5200226133095
364,1965,estimates,male,0_4,17.5089422683212
364,1965,estimates,female,0_14,44.5712518328181
364,1965,estimates,male,0_14,44.9039383097918
364,1965,estimates,female,0_17,50.2255354483328
364,1965,estimates,male,0_17,50.4785520071533
364,1965,estimates,female,0_19,53.4115209338393
364,1965,estimates,male,0_19,53.5799523510499
364,1965,estimates,female,0_24,60.3294114233319
364,1965,estimates,male,0_24,60.3839753990247
364,1965,estimates,female,3_4,6.56487489931711
364,1965,estimates,male,3_4,6.5594933082412
364,1965,estimates,female,3_5,9.67738691304996
364,1965,estimates,male,3_5,9.67809549549535
364,1965,estimates,female,3_6,12.6923876850449
364,1965,estimates,male,3_6,12.7073198366184
364,1965,estimates,female,4_5,6.33358967576131
364,1965,estimates,male,4_5,6.33915999640367
364,1965,estimates,female,4_6,9.34859044775622
364,1965,estimates,male,4_6,9.36838433752668
364,1965,estimates,female,5_10,17.3340596322996
364,1965,estimates,male,5_10,17.4968401554966
364,1965,estimates,female,5_11,19.9511017682187
364,1965,estimates,male,5_11,20.1726001459583
364,1965,estimates,female,5_14,27.0512292195086
364,1965,estimates,male,5_14,27.3949960414706
364,1965,estimates,female,6_9,11.5395721788037
364,1965,estimates,male,6_9,11.6481822228852
364,1965,estimates,female,6_10,14.2215476185668
364,1965,estimates,male,6_10,14.3782379682424
364,1965,estimates,female,6_11,16.8385897544858
364,1965,estimates,male,6_11,17.0539979587042
364,1965,estimates,female,6_12,19.3599919016786
364,1965,estimates,male,6_12,19.6345395859565
364,1965,estimates,female,7_10,11.2065468465718
364,1965,estimates,male,7_10,11.3490136271194
364,1965,estimates,female,7_12,16.3449911296837
364,1965,estimates,male,7_12,16.6053152448335
364,1965,estimates,female,11_16,13.6334383515695
364,1965,estimates,male,11_16,13.7805869789844
364,1965,estimates,female,11_17,15.3714532027237
364,1965,estimates,male,11_17,15.4727695833356
364,1965,estimates,female,11_18,17.0040348996106
364,1965,estimates,male,11_18,17.0586064307914
364,1965,estimates,female,12_14,7.10012745128993
364,1965,estimates,male,12_14,7.22239589551229
364,1965,estimates,female,12_16,11.0163962156505
364,1965,estimates,male,12_16,11.1048269885226
364,1965,estimates,female,12_17,12.7544110668046
364,1965,estimates,male,12_17,12.7970095928738
364,1965,estimates,female,12_18,14.3869927636915
364,1965,estimates,male,12_18,14.3828464403296
364,1965,estimates,female,13_17,10.2330089196119
364,1965,estimates,male,13_17,10.2164679656216
364,1965,estimates,female,13_18,11.8655906164987
364,1965,estimates,male,13_18,11.8023048130773
364,1965,estimates,female,13_19,13.4189944051184
364,1965,estimates,male,13_19,13.3178683095181
364,1965,estimates,female,15plus,55.4287481671819
364,1965,estimates,male,15plus,55.0960616902082
364,1965,estimates,female,15_17,5.65428361551472
364,1965,estimates,male,15_17,5.57461369736156
364,1965,estimates,female,15_24,15.7581595905138
364,1965,estimates,male,15_24,15.4800370892329
364,1965,estimates,female,15_49,44.0590395987638
364,1965,estimates,male,15_49,43.8735276185108
364,1965,estimates,female,15_59,49.5455946458753
364,1965,estimates,male,15_59,49.7269967647902
364,1965,estimates,female,15_64,51.6664827013375
364,1965,estimates,male,15_64,51.8017839231697
364,1965,estimates,female,16plus,53.3902117310417
364,1965,estimates,male,16plus,53.0617682637219
364,1965,estimates,female,17plus,51.5124794028213
364,1965,estimates,male,17plus,51.2136305971979
364,1965,estimates,female,18plus,49.7744645516671
364,1965,estimates,male,18plus,49.5214479928466
364,1965,estimates,female,18_23,8.75299616871249
364,1965,estimates,male,18_23,8.57847974537528
364,1965,estimates,female,20plus,46.5884790661607
364,1965,estimates,male,20plus,46.4200476489501
364,1965,estimates,female,20_64,42.8262136003164
364,1965,estimates,male,20_64,43.1257698819116
364,1965,estimates,female,20_69,44.4153855246956
364,1965,estimates,male,20_69,44.4565266296778
364,1965,estimates,female,21plus,45.1127528860368
364,1965,estimates,male,21plus,44.9750070316239
364,1965,estimates,female,25plus,39.6705885766681
364,1965,estimates,male,25plus,39.6160246009753
364,1965,estimates,female,25_49,28.30088000825
364,1965,estimates,male,25_49,28.393490529278
364,1965,estimates,female,25_64,35.9083231108238
364,1965,estimates,male,25_64,36.3217468339368
364,1965,estimates,female,25_69,37.497495035203
364,1965,estimates,male,25_69,37.6525035817029
364,1965,estimates,female,50plus,11.3697085684181
364,1965,estimates,male,50plus,11.2225340716974
364,1965,estimates,female,60plus,5.88315352130661
364,1965,estimates,male,60plus,5.369064925418
364,1965,estimates,female,65plus,3.76226546584431
364,1965,estimates,male,65plus,3.29427776703854
364,1965,estimates,female,70plus,2.17309354146503
364,1965,estimates,male,70plus,1.96352101927238
364,1965,estimates,female,75plus,1.08828612925874
364,1965,estimates,male,75plus,1.04617774806661
364,1965,estimates,female,80plus,0.411964181744336
364,1965,estimates,male,80plus,0.410309970823147
364,1970,estimates,female,total,100
364,1970,estimates,male,total,100
364,1970,estimates,female,0_1,7.1273553574903
364,1970,estimates,male,0_1,7.09816649393133
364,1970,estimates,female,0_4,16.9517132191041
364,1970,estimates,male,0_4,16.9084005881874
364,1970,estimates,female,0_14,44.0203420443202
364,1970,estimates,male,0_14,44.1742261409234
364,1970,estimates,female,0_17,50.7653877055625
364,1970,estimates,male,0_17,51.0681336134772
364,1970,estimates,female,0_19,54.7143509410248
364,1970,estimates,male,0_19,55.0716759504231
364,1970,estimates,female,0_24,62.3411675054505
364,1970,estimates,male,0_24,62.5599472143749
364,1970,estimates,female,3_4,6.44186860374863
364,1970,estimates,male,3_4,6.43644206432306
364,1970,estimates,female,3_5,9.51474573129949
364,1970,estimates,male,3_5,9.51258470071334
364,1970,estimates,female,3_6,12.496680562913
364,1970,estimates,male,3_6,12.5017181398855
364,1970,estimates,female,4_5,6.24233084686063
364,1970,estimates,male,4_5,6.24488396976511
364,1970,estimates,female,4_6,9.22426567847418
364,1970,estimates,male,4_6,9.23401740893722
364,1970,estimates,female,5_10,17.1586960378203
364,1970,estimates,male,5_10,17.2351440446166
364,1970,estimates,female,5_11,19.7395281634353
364,1970,estimates,male,5_11,19.839120683647
364,1970,estimates,female,5_14,27.0686288252161
364,1970,estimates,male,5_14,27.265825552736
364,1970,estimates,female,6_9,11.4273474867902
364,1970,estimates,male,6_9,11.4790239518596
364,1970,estimates,female,6_10,14.0858189102695
364,1970,estimates,male,6_10,14.1590014082263
364,1970,estimates,female,6_11,16.6666510358844
364,1970,estimates,male,6_11,16.7629780472567
364,1970,estimates,female,6_12,19.174836095016
364,1970,estimates,male,6_12,19.2975056635487
364,1970,estimates,female,7_10,11.1038840786559
364,1970,estimates,male,7_10,11.1698679690542
364,1970,estimates,female,7_12,16.1929012634025
364,1970,estimates,male,7_12,16.3083722243766
364,1970,estimates,female,11_16,14.4820231695807
364,1970,estimates,male,11_16,14.7002615394506
364,1970,estimates,female,11_17,16.6549784486381
364,1970,estimates,male,11_17,16.9245889806732
364,1970,estimates,female,11_18,18.7035680098102
364,1970,estimates,male,11_18,19.0110147951807
364,1970,estimates,female,12_14,7.32910066178087
364,1970,estimates,male,12_14,7.426704869089
364,1970,estimates,female,12_16,11.9011910439658
364,1970,estimates,male,12_16,12.0962849004202
364,1970,estimates,female,12_17,14.0741463230232
364,1970,estimates,male,12_17,14.3206123416428
364,1970,estimates,female,12_18,16.1227358841952
364,1970,estimates,male,12_18,16.4070381561503
364,1970,estimates,female,13_17,11.5659612638916
364,1970,estimates,male,13_17,11.7860847253508
364,1970,estimates,female,13_18,13.6145508250636
364,1970,estimates,male,13_18,13.8725105398583
364,1970,estimates,female,13_19,15.5149244993539
364,1970,estimates,male,13_19,15.7896270622968
364,1970,estimates,female,15plus,55.9796579556798
364,1970,estimates,male,15plus,55.8257738590766
364,1970,estimates,female,15_17,6.74504566124233
