agebroad,gender,percentagetotalpopulation,country,variant,year
20_64,male,58.32,40,estimates,1951
20_69,male,62.15,40,estimates,1951
25_49,male,33.728,40,estimates,1951
25_64,male,50.9,40,estimates,1951
25_69,male,54.73,40,estimates,1951
15plus,male,75.157,40,estimates,1951
16plus,male,73.652,40,estimates,1951
17plus,male,72.18,40,estimates,1951
18plus,male,70.744,40,estimates,1951
20plus,male,67.901,40,estimates,1951
21plus,male,66.449,40,estimates,1951
25plus,male,60.481,40,estimates,1951
50plus,male,26.753,40,estimates,1951
60plus,male,14.211,40,estimates,1951
65plus,male,9.581,40,estimates,1951
70plus,male,5.751,40,estimates,1951
75plus,male,2.866,40,estimates,1951
80plus,male,1.109,40,estimates,1951
85plus,male,0.305,40,estimates,1951
90plus,male,0.049,40,estimates,1951
total,male,100,40,estimates,1951
0,female,1.239,40,estimates,1952
0_1,female,2.43,40,estimates,1952
0_4,female,6.319,40,estimates,1952
0_14,female,20.688,40,estimates,1952
0_17,female,24.428,40,estimates,1952
0_19,female,26.766,40,estimates,1952
0_24,female,32.973,40,estimates,1952
3_4,female,2.665,40,estimates,1952
3_5,female,4.079,40,estimates,1952
3_6,female,5.531,40,estimates,1952
4_5,female,2.778,40,estimates,1952
4_6,female,4.23,40,estimates,1952
5_14,female,14.368,40,estimates,1952
5_10,female,8.832,40,estimates,1952
5_11,female,10.277,40,estimates,1952
6_9,female,5.936,40,estimates,1952
6_10,female,7.418,40,estimates,1952
6_11,female,8.863,40,estimates,1952
6_12,female,10.268,40,estimates,1952
7_10,female,5.966,40,estimates,1952
7_12,female,8.816,40,estimates,1952
11_16,female,8.065,40,estimates,1952
11_17,female,9.276,40,estimates,1952
11_18,female,10.453,40,estimates,1952
12_14,female,4.091,40,estimates,1952
12_16,female,6.62,40,estimates,1952
12_17,female,7.831,40,estimates,1952
12_18,female,9.008,40,estimates,1952
13_17,female,6.426,40,estimates,1952
13_18,female,7.602,40,estimates,1952
13_19,female,8.764,40,estimates,1952
15_17,female,3.74,40,estimates,1952
18_23,female,7.234,40,estimates,1952
15_24,female,12.285,40,estimates,1952
15_49,female,48.265,40,estimates,1952
15_59,female,61.94,40,estimates,1952
15_64,female,67.445,40,estimates,1952
20_64,female,61.366,40,estimates,1952
20_69,female,65.954,40,estimates,1952
25_49,female,35.98,40,estimates,1952
25_64,female,55.16,40,estimates,1952
25_69,female,59.748,40,estimates,1952
15plus,female,79.312,40,estimates,1952
16plus,female,78.03,40,estimates,1952
17plus,female,76.784,40,estimates,1952
18plus,female,75.572,40,estimates,1952
20plus,female,73.234,40,estimates,1952
21plus,female,72.058,40,estimates,1952
25plus,female,67.027,40,estimates,1952
50plus,female,31.047,40,estimates,1952
60plus,female,17.372,40,estimates,1952
65plus,female,11.868,40,estimates,1952
70plus,female,7.28,40,estimates,1952
75plus,female,3.765,40,estimates,1952
80plus,female,1.527,40,estimates,1952
85plus,female,0.463,40,estimates,1952
90plus,female,0.094,40,estimates,1952
total,female,100,40,estimates,1952
0,male,1.49,40,estimates,1952
0_1,male,2.905,40,estimates,1952
0_4,male,7.611,40,estimates,1952
0_14,male,24.741,40,estimates,1952
0_17,male,29.232,40,estimates,1952
0_19,male,32.066,40,estimates,1952
0_24,male,39.355,40,estimates,1952
3_4,male,3.219,40,estimates,1952
3_5,male,4.919,40,estimates,1952
3_6,male,6.661,40,estimates,1952
4_5,male,3.345,40,estimates,1952
4_6,male,5.087,40,estimates,1952
5_14,male,17.13,40,estimates,1952
5_10,male,10.557,40,estimates,1952
5_11,male,12.276,40,estimates,1952
6_9,male,7.093,40,estimates,1952
6_10,male,8.857,40,estimates,1952
6_11,male,10.576,40,estimates,1952
6_12,male,12.246,40,estimates,1952
7_10,male,7.115,40,estimates,1952
7_12,male,10.504,40,estimates,1952
11_16,male,9.6,40,estimates,1952
11_17,male,11.064,40,estimates,1952
11_18,male,12.491,40,estimates,1952
12_14,male,4.854,40,estimates,1952
12_16,male,7.881,40,estimates,1952
12_17,male,9.346,40,estimates,1952
12_18,male,10.772,40,estimates,1952
13_17,male,7.675,40,estimates,1952
13_18,male,9.102,40,estimates,1952
13_19,male,10.509,40,estimates,1952
15_17,male,4.492,40,estimates,1952
18_23,male,8.631,40,estimates,1952
15_24,male,14.614,40,estimates,1952
15_49,male,48.026,40,estimates,1952
15_59,male,60.924,40,estimates,1952
15_64,male,65.552,40,estimates,1952
20_64,male,58.226,40,estimates,1952
20_69,male,62.063,40,estimates,1952
25_49,male,33.413,40,estimates,1952
25_64,male,50.938,40,estimates,1952
25_69,male,54.774,40,estimates,1952
15plus,male,75.259,40,estimates,1952
16plus,male,73.731,40,estimates,1952
17plus,male,72.232,40,estimates,1952
18plus,male,70.768,40,estimates,1952
20plus,male,67.934,40,estimates,1952
21plus,male,66.518,40,estimates,1952
25plus,male,60.645,40,estimates,1952
50plus,male,27.233,40,estimates,1952
60plus,male,14.335,40,estimates,1952
65plus,male,9.708,40,estimates,1952
70plus,male,5.871,40,estimates,1952
75plus,male,2.976,40,estimates,1952
80plus,male,1.173,40,estimates,1952
85plus,male,0.334,40,estimates,1952
90plus,male,0.059,40,estimates,1952
total,male,100,40,estimates,1952
0,female,1.291,40,estimates,1953
0_1,female,2.471,40,estimates,1953
0_4,female,6.263,40,estimates,1953
0_14,female,20.619,40,estimates,1953
0_17,female,24.456,40,estimates,1953
0_19,female,26.831,40,estimates,1953
0_24,female,32.842,40,estimates,1953
3_4,female,2.544,40,estimates,1953
3_5,female,3.899,40,estimates,1953
3_6,female,5.299,40,estimates,1953
4_5,female,2.656,40,estimates,1953
4_6,female,4.056,40,estimates,1953
