global,year,variant,freq,age5yearinterval,noofbirthbymother
900,1985,estimates,5yearly,40_44,18235.401
900,1985,estimates,5yearly,45_49,4659.163
900,1990,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1990,estimates,5yearly,15_19,82832.782
900,1990,estimates,5yearly,20_24,219656.079
900,1990,estimates,5yearly,25_29,191011.646
900,1990,estimates,5yearly,30_34,106356.592
900,1990,estimates,5yearly,35_39,50454.457
900,1990,estimates,5yearly,40_44,18104.902
900,1990,estimates,5yearly,45_49,4106.668
900,1995,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,1995,estimates,5yearly,15_19,79392.808
900,1995,estimates,5yearly,20_24,207403.825
900,1995,estimates,5yearly,25_29,184584.528
900,1995,estimates,5yearly,30_34,108209.359
900,1995,estimates,5yearly,35_39,51360.465
900,1995,estimates,5yearly,40_44,18048.619
900,1995,estimates,5yearly,45_49,4293.488
900,2000,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,2000,estimates,5yearly,15_19,76839.624
900,2000,estimates,5yearly,20_24,209338.254
900,2000,estimates,5yearly,25_29,186010.11
900,2000,estimates,5yearly,30_34,114390.105
900,2000,estimates,5yearly,35_39,53983.623
900,2000,estimates,5yearly,40_44,17902.697
900,2000,estimates,5yearly,45_49,4301.49
900,2005,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,2005,estimates,5yearly,15_19,72467.63
900,2005,estimates,5yearly,20_24,219555.862
900,2005,estimates,5yearly,25_29,193773.389
900,2005,estimates,5yearly,30_34,119302.13
900,2005,estimates,5yearly,35_39,57370.584
900,2005,estimates,5yearly,40_44,18670.316
900,2005,estimates,5yearly,45_49,4383.403
900,2010,estimates,5yearly,"Region, subregion, country or area *",WORLD
900,2010,estimates,5yearly,15_19,67494.822
900,2010,estimates,5yearly,20_24,216353.464
900,2010,estimates,5yearly,25_29,206356.017
900,2010,estimates,5yearly,30_34,126228.794
900,2010,estimates,5yearly,35_39,61101.743
900,2010,estimates,5yearly,40_44,19489.838
900,2010,estimates,5yearly,45_49,4321.355
900,2015,constant_fertility,5yearly,"Region, subregion, country or area *",WORLD
900,2015,constant_mortality,5yearly,"Region, subregion, country or area *",WORLD
900,2015,high_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2015,instant_replacement,5yearly,"Region, subregion, country or area *",WORLD
900,2015,low_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2015,medium_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2015,momentum,5yearly,"Region, subregion, country or area *",WORLD
900,2015,no_change,5yearly,"Region, subregion, country or area *",WORLD
900,2015,zero_migration,5yearly,"Region, subregion, country or area *",WORLD
900,2015,constant_fertility,5yearly,15_19,71825.979
900,2015,constant_mortality,5yearly,15_19,63816.34
900,2015,high_variant,5yearly,15_19,69195.6399999999
900,2015,instant_replacement,5yearly,15_19,48206.883
900,2015,low_variant,5yearly,15_19,58339.189
900,2015,medium_variant,5yearly,15_19,63852.296
900,2015,momentum,5yearly,15_19,48911.439
900,2015,no_change,5yearly,15_19,71785.909
900,2015,zero_migration,5yearly,15_19,63939.906
900,2015,constant_fertility,5yearly,20_24,216860.31
900,2015,constant_mortality,5yearly,20_24,203557.206
900,2015,high_variant,5yearly,20_24,223876.117
900,2015,instant_replacement,5yearly,20_24,180271.095
900,2015,low_variant,5yearly,20_24,183149.953
900,2015,medium_variant,5yearly,20_24,203670.892
900,2015,momentum,5yearly,20_24,182363.416
900,2015,no_change,5yearly,20_24,216740.067
900,2015,zero_migration,5yearly,20_24,204021.175
900,2015,constant_fertility,5yearly,25_29,216271.699
900,2015,constant_mortality,5yearly,25_29,209308.55
900,2015,high_variant,5yearly,25_29,231571.637
900,2015,instant_replacement,5yearly,25_29,194189.895
900,2015,low_variant,5yearly,25_29,187331.664
900,2015,medium_variant,5yearly,25_29,209439.34
900,2015,momentum,5yearly,25_29,195820.297
900,2015,no_change,5yearly,25_29,216134.932
900,2015,zero_migration,5yearly,25_29,209533.332
900,2015,constant_fertility,5yearly,30_34,138933.174
900,2015,constant_mortality,5yearly,30_34,136517.303
900,2015,high_variant,5yearly,30_34,151230.375
900,2015,instant_replacement,5yearly,30_34,126329.779
900,2015,low_variant,5yearly,30_34,122195.73
900,2015,medium_variant,5yearly,30_34,136624.617
900,2015,momentum,5yearly,30_34,127149.716
900,2015,no_change,5yearly,30_34,138818.85
900,2015,zero_migration,5yearly,30_34,136563.281
900,2015,constant_fertility,5yearly,35_39,67464.141
900,2015,constant_mortality,5yearly,35_39,65840.46
900,2015,high_variant,5yearly,35_39,72730.502
900,2015,instant_replacement,5yearly,35_39,58508.125
900,2015,low_variant,5yearly,35_39,59257.986
900,2015,medium_variant,5yearly,35_39,65915.057
900,2015,momentum,5yearly,35_39,58936.163
900,2015,no_change,5yearly,35_39,67383.363
900,2015,zero_migration,5yearly,35_39,65917.781
900,2015,constant_fertility,5yearly,40_44,21655.532
900,2015,constant_mortality,5yearly,40_44,20559.622
900,2015,high_variant,5yearly,40_44,22606.058
900,2015,instant_replacement,5yearly,40_44,17512.768
900,2015,low_variant,5yearly,40_44,18610.851
900,2015,medium_variant,5yearly,40_44,20587.615
900,2015,momentum,5yearly,40_44,17679.904
900,2015,no_change,5yearly,40_44,21623.632
900,2015,zero_migration,5yearly,40_44,20605.134
900,2015,constant_fertility,5yearly,45_49,4958.374
900,2015,constant_mortality,5yearly,45_49,4361.364
900,2015,high_variant,5yearly,45_49,4731.857
900,2015,instant_replacement,5yearly,45_49,3272.285
900,2015,low_variant,5yearly,45_49,4000.849
900,2015,medium_variant,5yearly,45_49,4368.265
900,2015,momentum,5yearly,45_49,3319.541
900,2015,no_change,5yearly,45_49,4950.363
900,2015,zero_migration,5yearly,45_49,4375.573
900,2020,constant_fertility,5yearly,"Region, subregion, country or area *",WORLD
900,2020,constant_mortality,5yearly,"Region, subregion, country or area *",WORLD
900,2020,high_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2020,instant_replacement,5yearly,"Region, subregion, country or area *",WORLD
900,2020,low_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2020,medium_variant,5yearly,"Region, subregion, country or area *",WORLD
900,2020,momentum,5yearly,"Region, subregion, country or area *",WORLD
900,2020,no_change,5yearly,"Region, subregion, country or area *",WORLD
900,2020,zero_migration,5yearly,"Region, subregion, country or area *",WORLD
900,2020,constant_fertility,5yearly,15_19,77166.572
900,2020,constant_mortality,5yearly,15_19,60458.775
900,2020,high_variant,5yearly,15_19,68830.229
900,2020,instant_replacement,5yearly,15_19,45887.86
900,2020,low_variant,5yearly,15_19,52185.914
900,2020,medium_variant,5yearly,15_19,60603.806
900,2020,momentum,5yearly,15_19,47175.639
900,2020,no_change,5yearly,15_19,76987.013
900,2020,zero_migration,5yearly,15_19,60790.964
900,2020,constant_fertility,5yearly,20_24,223244.692
900,2020,constant_mortality,5yearly,20_24,192819.689
900,2020,high_variant,5yearly,20_24,224003.188
900,2020,instant_replacement,5yearly,20_24,170096.656
900,2020,low_variant,5yearly,20_24,162131.567
900,2020,medium_variant,5yearly,20_24,193236.574
900,2020,momentum,5yearly,20_24,174157.929
900,2020,no_change,5yearly,20_24,222774.362
900,2020,zero_migration,5yearly,20_24,194112.356
900,2020,constant_fertility,5yearly,25_29,217173.153
900,2020,constant_mortality,5yearly,25_29,201888.831
900,2020,high_variant,5yearly,25_29,236560.292
900,2020,instant_replacement,5yearly,25_29,186261.599
900,2020,low_variant,5yearly,25_29,168229.705
900,2020,medium_variant,5yearly,25_29,202367.707
900,2020,momentum,5yearly,25_29,189297.67
900,2020,no_change,5yearly,25_29,216647.857
900,2020,zero_migration,5yearly,25_29,202665.359
900,2020,constant_fertility,5yearly,30_34,146728.017
900,2020,constant_mortality,5yearly,30_34,145600.047
900,2020,high_variant,5yearly,30_34,171695.559
900,2020,instant_replacement,5yearly,30_34,138407.409
900,2020,low_variant,5yearly,30_34,120446.887
900,2020,medium_variant,5yearly,30_34,145980.256
900,2020,momentum,5yearly,30_34,139654.82
900,2020,no_change,5yearly,30_34,146299.158
900,2020,zero_migration,5yearly,30_34,145665.68
900,2020,constant_fertility,5yearly,35_39,74637.518
900,2020,constant_mortality,5yearly,35_39,72806.931
900,2020,high_variant,5yearly,35_39,85692.233
900,2020,instant_replacement,5yearly,35_39,67477.639
900,2020,low_variant,5yearly,35_39,60653.408
