region,year,variant,agebroad,feminityratio_femaleper100male
1502,1965,estimates,7_10,95.6623485793207
1502,1965,estimates,7_12,95.6684807784288
1502,1965,estimates,11_16,95.755828371903
1502,1965,estimates,11_17,95.7555641104132
1502,1965,estimates,11_18,95.7088359701662
1502,1965,estimates,12_14,95.7249946026454
1502,1965,estimates,12_16,95.7721850457032
1502,1965,estimates,12_17,95.7696146694349
1502,1965,estimates,12_18,95.7131499835922
1502,1965,estimates,13_17,95.7919857658494
1502,1965,estimates,13_18,95.7206414426332
1502,1965,estimates,13_19,95.5839303825225
1502,1965,estimates,15plus,97.9071914750858
1502,1965,estimates,15_17,95.8249341853372
1502,1965,estimates,15_24,94.1875530046031
1502,1965,estimates,15_49,93.7453623489937
1502,1965,estimates,15_59,95.0592520842785
1502,1965,estimates,15_64,95.8597595227414
1502,1965,estimates,16plus,97.987448041701
1502,1965,estimates,17plus,98.0650786187393
1502,1965,estimates,18plus,98.1473873671985
1502,1965,estimates,18_23,93.5528778776712
1502,1965,estimates,20plus,98.3758010526501
1502,1965,estimates,20_64,95.9347064600576
1502,1965,estimates,20_69,96.7280514079366
1502,1965,estimates,21plus,98.5330820701281
1502,1965,estimates,25plus,99.4611474840986
1502,1965,estimates,25_49,93.4846307552224
1502,1965,estimates,25_64,96.6145285141468
1502,1965,estimates,25_69,97.5362845067667
1502,1965,estimates,50plus,113.988871762313
1502,1965,estimates,60plus,126.326631624328
1502,1965,estimates,65plus,134.865133322876
1502,1965,estimates,70plus,148.100468565593
1502,1965,estimates,75plus,165.788587000013
1502,1965,estimates,80plus,184.21678184865
1502,1965,estimates,85plus,195.56747983535
1502,1965,estimates,90plus,203.399866297393
1502,1970,estimates,total,96.9929853260565
1502,1970,estimates,0_1,96.3354001625078
1502,1970,estimates,0_4,96.0969223899538
1502,1970,estimates,0_14,95.8761721083907
1502,1970,estimates,0_17,95.8778907746081
1502,1970,estimates,0_19,95.8849848873144
1502,1970,estimates,0_24,95.8639151867354
1502,1970,estimates,3_4,95.8586783496827
1502,1970,estimates,3_5,95.8151441119424
1502,1970,estimates,3_6,95.7811675418426
1502,1970,estimates,4_5,95.7638468751628
1502,1970,estimates,4_6,95.7341344726244
1502,1970,estimates,5_10,95.6749217018355
1502,1970,estimates,5_11,95.6864884906014
1502,1970,estimates,5_14,95.7319960483383
1502,1970,estimates,6_9,95.6552972158239
1502,1970,estimates,6_10,95.6640589599308
1502,1970,estimates,6_11,95.6794629919659
1502,1970,estimates,6_12,95.6981802712011
1502,1970,estimates,7_10,95.6620983585655
1502,1970,estimates,7_12,95.7033681947485
1502,1970,estimates,11_16,95.8518124820571
1502,1970,estimates,11_17,95.857510052687
1502,1970,estimates,11_18,95.8671839846529
1502,1970,estimates,12_14,95.8570760162514
1502,1970,estimates,12_16,95.8691001197413
